Агар пищевой	4.0	    0.0	    76.0	301
Приправа Maggi Зажарка со сладким перцем	Приправа Maggi Зажарка со сладким перцем	5.0	10.7	31.3	242
Приправа Maggi Заправка для борща	Приправа Maggi Заправка для борща	1.6	0.8	18.0	93
Приправа Maggi Заправка Для кислых щей	Приправа Maggi Заправка Для кислых щей	2.0	2.2	19.5	106
Приправа Maggi Куриный бульон	Приправа Maggi Куриный бульон	0.3	2.1	9.6	59
Приправа Maggi Куриный бульон Золотой	Приправа Maggi Куриный бульон Золотой	0.8	9.9	22.7	186
Приправа Maggi Куриный бульон с овощами и зеленью	Приправа Maggi Куриный бульон с овощами и зеленью	1.2	9.7	25.5	194
Приправа Maggi На второе для гречки по-купечески	Приправа Maggi На второе для гречки по-купечески	7.2	5.1	53.0	301
Приправа Maggi На второе для гуляша	Приправа Maggi На второе для гуляша	8.5	4.1	60.0	331
Приправа Maggi На второе для домашних колбасок по-баварски	Приправа Maggi На второе для домашних колбасок по-баварски	8.9	2.7	59.6	306
Приправа Maggi На второе для жюльена из курицы и грибов	Приправа Maggi На второе для жюльена из курицы и грибов	2.2	3.2	73.0	334
Приправа Maggi На второе для запеканки из макарон с мясом по-итальянски	Приправа Maggi На второе для запеканки из макарон с мясом по-итальянски	5.0	2.7	59.0	283
Приправа Maggi На второе для котлет	Приправа Maggi На второе для котлет	10.0	2.6	58.7	299
Приправа Maggi На второе для куриных крылышек барбекю	Приправа Maggi На второе для куриных крылышек барбекю	4.7	8.8	32.8	231
Приправа Maggi На второе для курицы по-французски	Приправа Maggi На второе для курицы по-французски	4.5	0.6	70.0	307
Приправа Maggi На второе для макарон в сливочно-сырном соусе с курицей и грибами	Приправа Maggi На второе для макарон в сливочно-сырном соусе с курицей и грибами	4.1	2.6	69.0	319
Приправа Maggi На второе для макарон в томатно-мясном соусе Болонез	Приправа Maggi На второе для макарон в томатно-мясном соусе Болонез	9.0	3.2	58.0	314
Приправа Maggi На второе для мясного рулета с яйцом и сыром	Приправа Maggi На второе для мясного рулета с яйцом и сыром	7.6	2.5	62.4	302
Приправа Maggi На второе для мясных ежиков с рисом и морковью	Приправа Maggi На второе для мясных ежиков с рисом и морковью	4.5	3.0	50.3	249
Приправа Maggi На второе для нежной курицы по-итальянски	Приправа Maggi На второе для нежной курицы по-итальянски	6.1	32.0	27.0	437
Приправа Maggi На второе для нежной курицы с чесноком и травами	Приправа Maggi На второе для нежной курицы с чесноком и травами	6.3	32.9	23.8	434
Приправа Maggi На второе для пельменей по-уральски	Приправа Maggi На второе для пельменей по-уральски	5.5	16.2	57.9	402
Приправа Maggi На второе для плова с курицей	Приправа Maggi На второе для плова с курицей	6.0	6.5	39.1	270
Приправа Maggi На второе для постных котлеток из фасоли с соусом	Приправа Maggi На второе для постных котлеток из фасоли с соусом	9.9	3.0	6.1	323
Приправа Maggi На второе для сочного жаркого из курицы с овощами	Приправа Maggi На второе для сочного жаркого из курицы с овощами	5.5	6.3	44.9	259
Приправа Maggi На второе для сочного мяса с чесночком и луком по-домашнему	Приправа Maggi На второе для сочного мяса с чесночком и луком по-домашнему	1.9	3.9	51.4	255
Приправа Maggi На второе для сочного цыпленка табака	Приправа Maggi На второе для сочного цыпленка табака	2.5	3.5	63.5	308
Приправа Maggi На второе для сочной курицы с травами	Приправа Maggi На второе для сочной курицы с травами	3.7	1.6	50.7	232
Приправа Maggi На второе для сочной курицы с чесноком	Приправа Maggi На второе для сочной курицы с чесноком	4.9	3.9	51.0	277
Приправа Maggi На второе для сочной курочки Карри	Приправа Maggi На второе для сочной курочки Карри	4.9	4.9	54.0	293
Приправа Maggi На второе для сочных ребрышек барбекю	Приправа Maggi На второе для сочных ребрышек барбекю	5.4	3.7	56.6	298
Приправа Maggi На второе для сочных ребрышек с дымком	Приправа Maggi На второе для сочных ребрышек с дымком	2.7	3.2	49.9	239
Приправа Maggi На второе для сочных тефтелек в сливочно-томатном соусе	Приправа Maggi На второе для сочных тефтелек в сливочно-томатном соусе	9.9	3.2	62.0	329
Приправа Maggi На второе для хрустящих наггетсов с соусом тартар	Приправа Maggi На второе для хрустящих наггетсов с соусом тартар	5.3	4.6	68.6	342
Приправа Maggi На второе для чахохбили из курицы	Приправа Maggi На второе для чахохбили из курицы	7.8	3.4	50.4	264
Приправа Maggi Подлива домашняя золотистая	Приправа Maggi Подлива домашняя золотистая	4.5	2.2	69.0	315
Приправа Vegeta Natur	Приправа Vegeta Natur	4.4	0.9	28.0	152
Приправа Vegeta для говядины	Приправа Vegeta для говядины	9.4	1.7	27.1	161
Приправа Vegeta для гриля	Приправа Vegeta для гриля	9.1	1.0	30.8	169
Приправа Vegeta для картофеля	Приправа Vegeta для картофеля	9.0	1.2	29.9	166
Приправа Vegeta для креветок	Приправа Vegeta для креветок	11.4	1.1	25.7	158
Приправа Vegeta для курицы	Приправа Vegeta для курицы	8.4	1.2	29.1	161
Приправа Vegeta для макаронных изделий	Приправа Vegeta для макаронных изделий	9.3	0.8	25.4	146
Приправа Vegeta для моркови по-корейски	Приправа Vegeta для моркови по-корейски	8.2	1.2	28.5	158
Приправа Vegeta для плова	Приправа Vegeta для плова	10.3	1.5	29.5	173
Приправа Vegeta для риса	Приправа Vegeta для риса	11.4	0.8	24.8	152
