Сашими Томаго-яки	Сашими Томаго-яки	7.2	12.1	2.4	147
Сашими Унаги	Сашими Унаги	9.3	19.0	1.8	215
Сашими Хамачи	Сашими Хамачи	10.2	6.7	1.1	106
Сашими Хотатэ	Сашими Хотатэ	5.0	1.5	2.3	42
Сашими Эби	Сашими Эби	11.3	0.7	1.6	58
Суп  Шаксфин	Суп Шаксфин	2.0	1.1	5.6	41
Суп Бута рамен	Суп Бута рамен	3.6	4.1	6.1	76
Суп Гёдза мисо	Суп Гёдза мисо	3.4	4.9	6.5	83
Суп Икинацу мисо	Суп Икинацу мисо	0.3	0.3	6.1	28
Суп Исикари мисо	Суп Исикари мисо	2.6	5.2	6.6	84
Суп Каники мисо	Суп Каники мисо	2.0	2.8	6.3	59
Суп Кимчи тиге	Суп Кимчи тиге	2.2	3.8	5.4	65
Суп Мангэцу куриму	Суп Мангэцу куриму	5.0	4.0	11.0	101
Суп Мисо сиру	Суп Мисо сиру	2.1	1.2	11.7	66
Суп Самуй сиру	Суп Самуй сиру	2.0	3.0	6.9	62
Суп Суймоно	Суп Суймоно	1.9	1.1	11.6	62
Суп Сякэ тядзукэ	Суп Сякэ тядзукэ	2.4	2.8	4.0	51
Суп Темпура дзосуй	Суп Темпура дзосуй	3.0	1.3	8.5	58
Суп Тори рамэн	Суп Тори рамэн	1.9	1.7	8.2	55
Суп Удзура тамаго	Суп Удзура тамаго	2.6	1.1	7.3	50
Суп Хакусай бекон куриму	Суп Хакусай бекон куриму	2.5	4.1	7.1	76
Суп Эби тай сиро	Суп Эби тай сиро	4.7	2.4	11.2	85
Суп Эби чили мисо	Суп Эби чили мисо	1.8	3.0	7.6	65
Суши Изуми-тай	Суши Изуми-тай	8.4	1.6	15.2	108
Суши Ика	Суши Ика	8.4	1.2	16.0	108
Суши Икура	Суши Икура	13.6	5.5	15.6	161
Суши Инари кунсэй	Суши Инари кунсэй	11.0	8.6	11.5	151
Суши Инари магуро	Суши Инари магуро	10.7	9.3	11.3	172
Суши Инари сякэ	Суши Инари сякэ	9.6	10.0	11.3	173
Суши Инари унаги	Суши Инари унаги	8.4	15.0	11.3	213
Суши Инари хамачи	Суши Инари хамачи	9.6	10.0	11.3	173
Суши Инари хотатэ	Суши Инари хотатэ	6.9	8.1	11.8	147
Суши Кани	Суши Кани	8.4	0.8	15.2	101
Суши Магуро	Суши Магуро	11.2	2.4	15.2	126
Суши Супайсу кани	Суши Супайсу кани	7.3	12.3	13.3	193
Суши Супайсу магуро	Суши Супайсу магуро	9.3	13.3	13.3	209
Суши Супайсу сякэ	Суши Супайсу сякэ	8.0	14.6	13.3	216
Суши Супайсу унаги	Суши Супайсу унаги	6.3	16.0	13.3	222
Суши Супайсу хамачи	Суши Супайсу хамачи	7.0	15.3	13.3	218
Суши Супайсу хотатэ	Суши Супайсу хотатэ	4.0	12.7	14.0	183
Суши Супайсу шиитакэ	Суши Супайсу шиитакэ	3.6	16.0	14.6	216
Суши Супайсу эби	Суши Супайсу эби	7.3	12.3	13.6	193
Суши Сякэ	Суши Сякэ	9.2	3.6	15.2	129
Суши Сякэ кунсей	Суши Сякэ кунсей	10.4	5.6	15.2	152
Суши Тако	Суши Тако	4.0	1.2	15.2	87
